trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.max_distance,config.splitting_max_distance,config.gap_closing
4cd95_00005,0.7799602736702714,0.781858407079646,0.9968970380818054,0.9043723554301834,0.734070796460177,0.0023752969121140144,150.05151748657227,True,,,1,7ee39d9fb90d4001bf0aafc0a313bf59,2022-08-23_17-44-05,1661244245,150.05151748657227,263894,booster,172.21.5.13,150.05151748657227,0,1,0.004758119583129883,5,2.0,9.384615384615385,1
4cd95_00022,0.7737601264572219,0.8663716814159292,0.8786179044200134,0.5687682297509535,0.8019911504424779,0.019002375296912115,123.51785683631897,True,,,1,8df9e8b53f294cca90f745bcea4365fb,2022-08-23_17-51-15,1661244675,123.51785683631897,265314,booster,172.21.5.13,123.51785683631897,0,1,0.0070416927337646484,22,2.0,42.61538461538462,0
4cd95_00056,0.7664459161147903,0.768141592920354,0.9971280873061459,0.9121194715680643,0.7161504424778761,0.0,75.25654363632202,True,,,1,9d3a8f7570dd4c08929cde46707e4054,2022-08-23_18-02-17,1661245337,75.25654363632202,267261,booster,172.21.5.13,75.25654363632202,0,1,0.004978656768798828,56,8.0,2.0,0
4cd95_00059,0.7664459161147903,0.768141592920354,0.9971280873061459,0.9121194715680643,0.7161504424778761,0.0,78.29729843139648,True,,,1,d6468993fba54c128fc6cabc400bd6bb,2022-08-23_18-03-19,1661245399,78.29729843139648,267452,booster,172.21.5.13,78.29729843139648,0,1,0.004859209060668945,59,8.0,5.6923076923076925,1
4cd95_00057,0.7664459161147903,0.768141592920354,0.9971280873061459,0.9121194715680643,0.7161504424778761,0.0,80.90860056877136,True,,,1,def29a00f31f4d53a99ec739713e140c,2022-08-23_18-03-07,1661245387,80.90860056877136,267337,booster,172.21.5.13,80.90860056877136,0,1,0.013367176055908203,57,8.0,2.0,1
4cd95_00058,0.7664459161147903,0.768141592920354,0.9971280873061459,0.9121194715680643,0.7161504424778761,0.0,76.9176926612854,True,,,1,ad631232017d4dde819363c8f5b2002e,2022-08-23_18-03-11,1661245391,76.9176926612854,267398,booster,172.21.5.13,76.9176926612854,0,1,0.0059697628021240234,58,8.0,5.6923076923076925,0
4cd95_00004,0.7615894039735099,0.7632743362831859,0.9971098265895953,0.9147398843930635,0.70929203539823,0.0,129.68125081062317,True,,,1,f6912f6d88804408a8fd4e3d27d15173,2022-08-23_17-43-36,1661244216,129.68125081062317,263850,booster,172.21.5.13,129.68125081062317,0,1,0.012811422348022461,4,2.0,9.384615384615385,0
4cd95_00024,0.7615595611285266,0.8599557522123894,0.8693804518004921,0.5600536792663834,0.7867256637168142,0.019002375296912115,125.97900247573853,True,,,1,180927d67ac249b79111a3e55dd70f00,2022-08-23_17-52-01,1661244721,125.97900247573853,265446,booster,172.21.5.13,125.97900247573853,0,1,0.0063533782958984375,24,2.0,46.30769230769231,0
4cd95_00026,0.7578659370725034,0.8579646017699115,0.8665921787709497,0.5570949720670391,0.7845132743362832,0.019002375296912115,122.47519063949585,True,,,1,ccab98eabb0d486f91cc6a147514ae79,2022-08-23_17-53-07,1661244787,122.47519063949585,265581,booster,172.21.5.13,122.47519063949585,0,1,0.015591859817504883,26,2.0,50.0,0
4cd95_00031,0.5936325447711696,0.5940265486725663,0.9988839285714286,0.9694940476190477,0.5050884955752213,0.0,102.31307601928711,True,,,1,70248466fb94493daa93523662b6c5a7,2022-08-23_17-54-59,1661244899,102.31307601928711,265910,booster,172.21.5.13,102.31307601928711,0,1,0.004082918167114258,31,5.0,5.6923076923076925,1
4cd95_00030,0.5936325447711696,0.5940265486725663,0.9988839285714286,0.9694940476190477,0.5050884955752213,0.0,96.94637155532837,True,,,1,125a99fd3ee640f7915d8c894bd7aa87,2022-08-23_17-53-58,1661244838,96.94637155532837,265836,booster,172.21.5.13,96.94637155532837,0,1,0.007376670837402344,30,5.0,5.6923076923076925,0
4cd95_00003,0.576608445721866,0.5769911504424778,0.9988510149368058,0.9716583684412102,0.48672566371681414,0.0,144.4724280834198,True,,,1,1902c4c5558143c89836de210e436fce,2022-08-23_17-43-45,1661244225,144.4724280834198,263802,booster,172.21.5.13,144.4724280834198,0,1,0.004709482192993164,3,2.0,5.6923076923076925,1
4cd95_00002,0.5600265310634535,0.5603982300884955,0.9988170347003155,0.973186119873817,0.46991150442477875,0.0,110.0939531326294,True,,,1,7ea6b7c86cbe46c2b86537aa8606548f,2022-08-23_17-43-05,1661244185,110.0939531326294,263754,booster,172.21.5.13,110.0939531326294,0,1,0.004300117492675781,2,2.0,5.6923076923076925,0
4cd95_00028,0.515922158337019,0.5161504424778761,0.9991434689507495,0.9785867237687366,0.4261061946902655,0.0,100.47909307479858,True,,,1,257a90cccb8a44ecb2e957e2da5cd734,2022-08-23_17-53-29,1661244809,100.47909307479858,265709,booster,172.21.5.13,100.47909307479858,0,1,0.008761167526245117,28,5.0,2.0,0
4cd95_00029,0.515922158337019,0.5161504424778761,0.9991434689507495,0.9785867237687366,0.4261061946902655,0.0,103.90944170951843,True,,,1,3d05203ec03043be89acb07973ee601b,2022-08-23_17-53-55,1661244835,103.90944170951843,265778,booster,172.21.5.13,103.90944170951843,0,1,0.004704713821411133,29,5.0,2.0,1
4cd95_00001,0.11880530973451327,0.11880530973451327,1.0,0.9981378026070763,0.10376106194690266,0.0,131.7581605911255,True,,,1,db2df633561447578b7d0235cbdd0773,2022-08-23_17-43-22,1661244202,131.7581605911255,263711,booster,172.21.5.13,131.7581605911255,0,1,0.0039331912994384766,1,2.0,2.0,1
4cd95_00000,0.11880530973451327,0.11880530973451327,1.0,0.9981378026070763,0.10376106194690266,0.0,97.65458369255066,True,,,1,68055454a86b4fbf8eac4e74f7ee3387,2022-08-23_17-42-42,1661244162,97.65458369255066,263636,booster,172.21.5.13,97.65458369255066,0,1,0.01300668716430664,0,2.0,2.0,0
